@relation train

@attribute SeriousDlqin2yrs {NO,YES}
@attribute RevolvingUtilizationOfUnsecuredLines numeric
@attribute age numeric
@attribute NumberOfTime30-59DaysPastDueNotWorse numeric
@attribute DebtRatio numeric
@attribute MonthlyIncome numeric
@attribute NumberOfOpenCreditLinesAndLoans numeric
@attribute NumberOfTimes90DaysLate numeric
@attribute NumberRealEstateLoansOrLines numeric
@attribute NumberOfTime60-89DaysPastDueNotWorse numeric
@attribute NumberOfDependents numeric

@data
NO,0.255493,60,1,2431,?,16,0,2,0,0
NO,0.140793,66,0,0.38461,15529,6,0,2,0,0
NO,0.890876,41,0,1.080427,4500,14,0,2,0,1
NO,0,69,0,0.382381,3200,7,0,1,0,0
YES,0.971401,45,3,0.747402,1250,15,0,1,0,0
NO,0.037945,82,0,114,?,11,0,0,0,0
NO,0.052517,39,0,0.153498,13250,7,0,2,0,0
NO,0.456535,45,0,0.561339,9316,12,0,4,0,3
NO,0.643957,45,0,0.630716,7500,5,0,2,0,0
NO,0.318319,56,0,0.432027,6200,9,0,2,0,0
NO,0.747319,56,3,0.398303,4596,4,0,1,0,1
NO,0.370064,46,0,0.348739,9000,8,0,2,0,2
NO,0.006053,46,0,0.247678,3875,22,0,1,0,0
NO,0.109446,70,0,0.483321,4166,10,0,1,0,0
NO,0.039721,58,0,3319,?,10,0,2,0,0
NO,0.026542,68,0,0.092712,4033,5,0,0,0,0
NO,0,47,0,1219,?,5,0,1,0,0
NO,0.143545,68,0,0.021299,2863,3,0,0,0,0
NO,0.9894,51,0,0.874244,3800,6,0,2,0,0
NO,0.002905,79,0,0.065393,10000,9,0,1,0,0
NO,0.388985,67,0,2.317014,5800,11,0,1,0,0
NO,0.48674,54,0,0.352113,2200,7,0,1,0,0
YES,0.327103,65,4,0.225955,5000,6,0,1,1,0
NO,1,23,0,0.06901,3100,1,0,0,0,0
NO,1,24,0,249,?,1,0,0,0,0
NO,0.466065,55,0,0.481083,3250,9,0,1,0,0
NO,0.061266,48,0,1843,?,7,0,1,0,0
NO,0.613742,64,2,1.096361,2500,12,0,1,0,0
NO,0.073958,61,0,0.375772,16666,8,0,3,0,0
NO,0.129358,41,0,0.372531,20000,12,0,2,0,1
NO,0.013127,58,0,1334,?,13,0,2,0,0
NO,0.003599,52,0,0.204705,4420,5,0,1,0,1
NO,0.778668,56,0,0.410166,5370,6,0,1,0,1
NO,0.074452,59,0,0.163547,16667,10,0,3,0,1
NO,0.928434,52,0,0.635572,5166,13,0,2,0,2
NO,0.064394,74,0,2542,?,12,0,1,0,0
YES,0.713159,46,2,0.322248,7366,10,0,0,0,1
NO,0.254671,59,0,277,?,5,0,0,0,3
NO,0.005654,59,0,0.243919,3000,6,0,2,0,0
NO,0.052738,67,0,0.008314,11666,3,0,0,0,0
NO,1.223553,62,0,0.035393,5000,1,0,0,0,0
NO,0,30,0,0.0003,20000,8,0,0,0,0
NO,0.177198,54,1,0.596687,3500,14,0,1,0,0
NO,0.374632,46,0,0.424242,2903,13,0,0,0,3
NO,0,23,0,0,898,2,0,0,0,0
NO,0.667569,38,0,0.437561,3050,8,0,2,0,1
NO,0.772956,40,0,0.539056,3750,17,0,0,0,1
NO,1,33,0,0.355366,4583,4,0,1,0,0
NO,0,40,0,0,3500,1,0,0,0,0
NO,0.271618,66,0,0.387563,7750,13,0,2,0,1
NO,0.000932,45,0,0,?,5,0,0,0,0
NO,0.011465,73,0,1349,?,7,0,1,0,0
NO,0.124228,31,1,63,?,5,0,0,0,0
NO,0.283508,30,1,665,?,2,0,0,1,0
NO,0.234746,63,1,0.173385,8483,9,0,1,0,1
NO,0.155804,64,0,1274,?,4,0,1,0,3
NO,0.044254,68,0,0.121435,3400,8,0,1,0,0
NO,0.517555,55,0,0.297277,9216,11,0,1,0,1
NO,0.368798,60,0,0.478601,8808,25,0,2,0,3
NO,0,31,0,0.337444,6000,3,0,1,0,0
NO,0.461703,50,0,0.418658,8328,15,0,2,0,0
NO,0.920203,41,0,0.617741,7800,12,0,2,0,3
NO,0.358602,37,0,0.415851,3166,9,0,1,0,0
NO,0.652629,25,0,0.217913,2500,6,0,0,0,2
NO,0.031635,56,0,0.261376,7647,6,0,1,0,1
NO,0.950305,28,0,0.385576,1760,10,0,0,0,0
NO,0,37,0,0,400,1,0,0,0,0
NO,1,72,0,0.109958,2600,3,1,0,0,0
NO,0.031703,37,0,0.146887,8400,9,0,1,0,1
NO,0.743007,44,0,0.14736,9167,5,0,0,0,0
NO,1,57,0,0.157574,4600,3,0,0,0,1
NO,0.088781,43,0,0.274675,7000,13,0,1,0,4
NO,0.005721,55,0,0.597054,1900,7,0,2,0,0
NO,1,56,0,3085,?,3,0,1,0,4
NO,1,43,0,0.01428,31441,1,0,0,1,2
NO,0.025991,81,0,1538,?,3,0,1,0,0
NO,0.239056,41,0,0.037451,15833,9,0,0,0,0
NO,0,70,0,0.792338,1800,3,0,1,0,0
NO,0.507865,62,1,0.227133,6810,19,0,1,0,1
NO,0.103159,60,0,0.322446,6000,10,0,1,0,1
NO,0.036108,42,0,0.079874,11705,12,0,1,0,4
NO,0.263287,57,0,3158,?,7,0,2,0,3
NO,0.231567,50,0,0.22859,3000,5,0,0,0,3
NO,0.735097,38,0,0.234484,5300,7,0,0,0,2
NO,0.029039,60,0,0.157284,10000,6,0,1,0,2
NO,0.18153,45,0,0.475293,3500,7,0,2,0,0
NO,0.057657,84,0,0.002499,4000,4,0,0,0,0
YES,0.718707,46,0,0.458969,4459,17,0,1,0,0
NO,0.020857,61,0,1228,?,13,0,2,0,0
NO,0.172546,54,0,0.626211,4333,5,0,2,0,2
YES,1,28,98,8,?,0,98,0,98,0
NO,0.001812,65,0,1016,?,8,0,1,0,0
YES,1,45,0,0.06884,4938,1,2,0,1,0
NO,0.32078,27,0,0.143197,5879,6,0,0,0,0
NO,1.023711,61,0,0.506537,6500,13,0,2,0,1
NO,0.005278,56,0,0.286186,6666,6,0,1,0,0
NO,0.967222,54,0,0.825809,5625,15,0,2,0,0
NO,0.047309,42,1,0.483097,9583,6,0,2,0,1
NO,0.411956,48,0,0.265566,7933,9,0,2,0,2
NO,0.047797,43,0,0.196648,10800,5,0,2,0,3
NO,0.657568,53,0,0.624137,3040,5,0,2,0,0
NO,0.386429,50,1,2357,?,12,0,1,0,0
NO,0.093215,57,0,0.309025,7500,3,0,1,0,1
NO,0.007129,78,0,0.003435,2328,4,0,0,0,0
NO,0.167322,59,0,1758,?,5,0,1,0,0
NO,1,37,0,3075,?,6,0,1,0,0
NO,0.57284,36,1,0.470006,6667,10,0,2,0,0
NO,0.237655,63,1,0.22599,13566,4,0,1,0,1
NO,0.097794,34,0,2342,?,6,0,2,0,0
NO,0.068781,65,0,0.041592,5000,6,0,0,1,0
NO,0.336239,51,1,0.655575,6250,10,0,2,0,4
NO,0,62,0,0.506118,3350,7,0,1,0,0
NO,1,28,1,0.259606,3200,2,1,0,0,1
NO,0.117022,74,2,0.616192,2000,7,0,1,0,0
NO,0.009155,37,0,0.075492,5695,6,0,1,0,1
NO,0.524232,45,0,0.594095,10600,7,0,4,0,1
NO,0.231038,55,0,0.043242,7353,7,0,0,0,0
NO,1,47,0,3221,?,2,0,1,0,0
NO,0.353564,67,0,3283,?,12,0,1,0,?
NO,0,83,0,1012,?,4,0,1,0,0
NO,0.705053,52,2,0.308991,12501,6,0,1,0,2
NO,0.113831,51,0,2449,?,13,0,4,0,0
NO,0,46,0,0.930299,5250,12,0,4,0,3
NO,0.219605,74,0,0.077987,6000,7,0,0,0,1
NO,0.17894,26,0,217,0,8,0,0,0,0
NO,0.000999,54,0,0.186647,6230,5,1,0,0,0
NO,0.199445,42,0,0.424184,14000,14,0,2,0,3
NO,1.020354,45,3,0.247235,16000,12,0,0,0,3
NO,0,43,1,0.353623,12501,7,0,2,0,0
NO,0.143843,81,0,0.116941,10500,24,0,2,0,0
NO,0,57,0,0.292704,4700,13,0,1,0,0
NO,0.505184,34,0,0.091444,3400,7,0,0,0,0
YES,1,36,0,963,?,2,0,0,0,0
NO,0.071136,53,0,0.319834,11333,17,0,1,0,0
NO,0.201988,49,0,0.456853,6500,5,0,1,0,1
NO,0.019872,30,0,0.092363,5250,4,0,0,0,3
NO,0.050278,69,0,0.452342,2433,14,0,1,1,0
YES,0.08812,49,1,0.356298,8200,18,0,2,0,0
NO,0.101489,62,1,981,?,10,0,1,0,0
NO,0.510997,49,0,0.709947,3950,8,0,1,2,0
NO,0.343746,66,0,0.299949,9794,22,0,1,0,0
NO,0.064789,63,0,0.40064,2500,4,0,1,0,0
NO,0.316785,27,2,0.490893,2250,11,0,0,0,0
NO,0,41,0,274,1,2,0,0,0,2
NO,0.170581,74,0,216,?,6,0,0,0,0
YES,0.023998,34,2,425,?,8,0,0,0,0
NO,0.119384,53,0,0.26821,10666,18,0,1,0,4
NO,0.855016,58,0,0.384362,5166,6,0,2,0,0
NO,0.789517,54,3,1910,?,11,0,1,0,1
NO,0.039684,64,0,0.637727,6000,10,0,3,0,0
NO,0.009,60,0,0.293312,13500,10,0,3,0,0
NO,0.346826,56,0,0.213795,9017,7,0,1,0,0
NO,0.153885,35,0,0.531199,7900,6,0,2,0,0
NO,1,27,0,214,?,5,0,0,0,0
NO,1,56,0,4800,?,8,0,2,0,0
NO,0.056015,44,0,0.331609,6380,7,0,0,0,5
NO,0.157795,54,0,0.038037,5888,6,0,0,0,1
NO,0.023422,32,1,0.476692,7400,7,0,3,0,0
NO,0.058473,52,0,105,?,6,0,0,0,0
NO,0.631688,47,0,0.512375,6100,15,0,1,0,5
NO,0.181979,35,0,0.013497,3333,4,0,0,0,0
NO,1.012665,42,4,0.877891,4626,10,0,1,1,2
NO,0.011474,41,0,0.302611,7583,6,0,1,0,0
NO,0.01051,63,0,2330,?,7,0,2,0,0
NO,0.003086,74,0,0.185393,8187,4,0,1,0,0
NO,0.117209,61,0,0.180371,7600,6,0,1,0,0
NO,0.053198,60,0,0.037712,4666,16,0,0,0,0
NO,0.12563,29,0,0.395292,5734,6,0,1,1,3
NO,0.316715,83,0,0.423288,2000,5,0,0,0,0
NO,0.011162,70,0,1304,?,5,0,1,0,1
NO,0.020729,31,0,0.542728,4200,10,0,1,0,2
NO,0.613071,65,0,2959,?,7,0,2,0,0
NO,0.474723,81,0,0.494967,2880,6,0,1,0,0
NO,0,24,0,0,?,1,0,0,0,0
NO,0.708369,50,0,0.598128,7800,18,0,1,0,0
NO,0.222989,37,1,0.453777,5916,11,0,2,0,0
NO,0.108283,48,0,0.01985,6800,5,0,0,0,2
NO,0.007625,80,0,0.001827,4925,4,0,0,0,0
NO,0.149054,54,0,11692,?,13,0,3,0,0
NO,0.293002,38,0,0.656535,3618,12,0,1,0,3
NO,0.032589,30,0,0.011494,2000,5,0,0,0,0
YES,0,60,3,0.292697,6750,5,1,1,2,0
NO,0.316681,52,0,0.390273,5900,7,0,1,0,1
NO,0.17508,85,0,0.501666,4500,9,0,1,0,0
NO,0.035461,61,0,0.130792,10833,7,0,1,0,0
NO,0.840856,56,1,9564,?,14,0,3,0,1
NO,0.004166,33,0,200,0,7,0,0,0,2
NO,0,46,0,2416,?,5,0,2,0,0
NO,0.005015,76,0,0.137899,5416,17,0,1,0,0
YES,1.023995,29,0,0.225861,1770,2,0,0,0,1
NO,0.06134,78,0,0.444997,9853,19,0,4,0,0
NO,0.208214,43,0,0.2511,2500,7,0,0,0,2
NO,0.350832,64,0,0.275482,9800,7,0,2,0,0
NO,0.049615,68,0,1.194676,600,3,0,1,0,0
NO,0.248651,89,0,0.20061,2950,6,0,0,0,0
NO,0.293413,24,0,0.027631,1700,3,0,0,0,0
NO,0.970827,51,0,1105,?,9,0,1,0,?
NO,0.092491,70,0,0.449006,4725,10,0,1,0,0
YES,0.72913,47,4,0.572032,7100,12,0,2,0,2
NO,0.759868,29,0,0.479022,5600,10,0,1,0,1
NO,3.812214,33,0,0.432078,20000,10,0,3,0,0
NO,1,36,0,468,?,1,0,0,1,0
NO,0.031377,49,0,0.352417,11667,11,0,3,0,2
NO,0.916771,30,0,0.382312,2170,2,0,0,0,0
NO,0.039592,60,0,0.080581,9083,13,0,0,0,0
NO,0.010645,63,0,893,?,3,0,1,0,0
NO,0.482105,31,0,0.079615,8000,4,0,0,0,0
NO,0.780468,55,0,0.228913,9116,15,0,0,0,0
NO,0.018403,44,0,0.502818,5500,13,0,1,0,4
NO,0.042552,62,0,0.276386,20000,14,0,2,0,2
NO,0.008636,70,0,0.103979,5000,7,0,1,0,0
NO,0.175069,41,0,0.009991,6605,2,0,0,1,2
NO,0.065854,48,0,0.011865,7163,12,0,0,0,2
NO,0.043161,41,0,1.70106,5000,14,0,1,0,1
NO,0.805288,45,0,0.350012,12250,5,0,2,0,2
NO,1,39,0,0.091182,5000,1,0,0,0,4
NO,0.136023,56,0,0.104609,4100,4,0,1,0,0
NO,0.089837,73,0,0.352719,7668,13,0,2,0,1
NO,1.285831,40,1,1706,?,4,0,1,1,2
NO,0.124797,81,0,0.313874,2500,13,0,2,0,0
NO,0.095513,33,0,0.906706,2400,9,0,2,0,0
NO,0.021971,43,0,1696.5,1,9,0,2,0,3
NO,0.640824,25,0,0.647122,3700,6,0,1,0,0
NO,0.080781,54,0,0.469012,2500,14,0,1,0,0
NO,0.032864,57,0,0.002945,4753,1,0,0,0,0
NO,0,62,0,266,0,7,0,0,0,0
NO,0.595546,45,0,0.427583,3900,4,0,1,0,1
NO,0.082405,39,0,0.753705,5330,12,0,3,0,0
NO,0.014133,61,0,0.00325,12000,13,0,0,0,0
YES,1,26,0,0,?,0,1,0,0,0
NO,0.609789,48,0,1.455169,1895,10,0,1,0,0
NO,0.329907,62,0,6578,?,16,0,3,0,0
NO,0.205235,59,1,0.232636,7500,12,0,2,0,0
NO,0.118385,64,0,210,?,4,0,0,0,0
NO,0.050449,48,1,0.248725,33333,17,0,3,0,6
NO,1,23,0,0.229808,1200,1,0,0,0,0
NO,0.52576,58,1,0.443628,9250,7,0,1,0,0
NO,1,23,0,0.000833,1200,1,0,0,0,0
NO,0.108247,70,0,0.038987,3000,5,0,0,0,0
NO,1,57,0,0,?,0,0,0,0,?
NO,0.676294,45,0,0.328075,8811,10,0,1,0,1
NO,0.101853,62,0,0.349265,10000,10,0,4,0,0
NO,0.477777,49,0,2965,?,12,0,2,0,0
NO,0.004123,64,0,905,?,18,0,1,0,0
NO,0,65,0,0.494104,2543,3,0,1,0,0
NO,0.083664,57,0,0.285048,4500,8,0,1,0,7
NO,0.321771,53,0,0.140196,2039,3,0,0,0,0
NO,0.346783,73,0,2293,?,6,0,2,0,?
NO,1,32,0,0.177956,4000,1,2,0,0,0
NO,0.207357,61,0,1.87425,4500,16,0,2,0,0
NO,0.251147,34,0,0.693451,5450,17,0,2,0,1
NO,0.835729,40,1,0.175847,5845,8,0,0,0,1
NO,0.614002,62,0,1.753782,1916,17,0,1,0,0
NO,0.016423,83,0,0.005982,4178,8,0,0,0,0
NO,0,24,0,0.645554,820,4,0,0,0,0
NO,0,64,0,0,4750,2,0,0,0,0
NO,0.028351,58,0,0.206003,12625,9,0,1,0,0
NO,0.401514,55,0,0.371663,10000,14,0,2,0,1
YES,0,37,0,1.237552,5000,12,0,2,0,4
NO,0.012455,68,0,0.006305,4916,9,0,0,0,1
NO,0.379025,86,2,0.356132,8333,9,0,1,0,0
NO,0.421064,60,0,0.335374,9800,9,0,1,0,0
YES,0.517791,62,1,0.481619,9166,11,0,2,0,0
NO,0.0325,72,1,0.372625,9000,25,0,3,0,0
YES,0.015577,80,0,0.364703,3665,11,0,2,0,1
NO,0.518377,47,1,0.189225,8333,11,0,0,0,0
NO,0.088747,47,0,0.072474,8885,9,0,0,0,1
YES,0.77233,66,1,0.667166,2667,14,0,1,1,0
NO,0.838446,39,0,0.101228,10500,2,0,0,0,4
NO,0.420932,48,0,0.17988,9800,5,0,1,0,1
NO,0.115788,43,0,0.150615,9354,8,0,1,0,0
NO,0.892382,44,0,0.881647,2500,8,0,0,0,0
NO,0.040394,36,0,0.193033,6200,4,0,1,0,0
NO,0.177274,34,1,3388,?,12,0,1,0,0
NO,0.015397,78,0,13,?,5,0,0,0,?
YES,0.915093,44,2,1.235623,1790,7,0,1,1,3
NO,0.032637,67,0,0.196556,8999,14,0,1,0,0
NO,0.076566,63,0,0.642226,6000,8,0,1,0,1
NO,0,74,0,0,2100,2,0,0,0,0
NO,0.526958,41,0,0.353266,10150,5,0,2,0,2
NO,0.009069,89,0,5,?,2,0,0,0,0
NO,0,31,0,0.629446,3429,5,0,1,0,0
NO,0.015522,50,0,1816,?,10,0,2,0,0
NO,0.837198,46,3,0.249217,6700,6,1,1,1,3
NO,0.048358,43,0,0.366187,2850,6,0,1,0,2
YES,1,82,0,0,6000,1,0,0,0,0
NO,0.657737,49,1,0.402999,3200,3,0,1,0,4
NO,0.285915,39,0,0.279606,3250,5,0,0,0,0
NO,0.036163,75,0,0.384803,4500,14,0,1,0,0
NO,0.319181,41,0,1.264123,6000,11,0,2,0,3
NO,0.200813,46,0,0.537495,7000,7,0,2,0,1
NO,0.207376,36,0,0.294334,8700,14,0,1,0,3
NO,0.222616,55,0,0.10309,21291,6,0,1,0,1
YES,0.830339,30,0,0.20239,4100,2,0,1,0,2
NO,0.30266,32,0,0.344224,5600,8,0,1,0,0
NO,0.302657,44,0,0.440208,5585,6,0,1,0,2
NO,0.002414,74,0,971,?,6,0,1,0,0
NO,0.90346,39,0,0.093059,5200,10,5,0,0,0
NO,1,54,0,0,?,0,0,0,0,0
NO,0.364293,61,0,0.290377,12500,6,0,1,0,0
NO,0.574893,50,0,0.057684,6916,8,0,0,0,0
NO,0.03767,62,0,0.206759,5000,10,0,1,0,0
NO,0,41,0,1.213085,2200,13,0,2,0,2
NO,0.078901,54,0,0.035462,7500,30,0,0,1,2
NO,0.166247,60,0,0.168262,4700,4,0,0,0,0
NO,0.359828,36,0,5.61794,300,11,0,1,0,0
NO,0.025762,44,0,0.143352,5768,5,0,1,0,0
NO,0.303829,48,0,0.02156,7652,5,0,0,0,0
NO,0.032799,78,0,0.014397,1666,6,0,0,0,0
NO,0.077263,54,0,0.347826,13500,15,0,2,0,3
NO,0.10482,49,0,0.388735,9000,13,0,2,0,2
NO,0,58,0,0.20869,11667,6,0,2,0,0
YES,1,30,0,0.012239,8333,1,0,0,0,0
NO,1.33829,37,1,0.112825,7391,5,1,0,2,0
NO,0.187601,88,0,0.152616,3000,2,0,1,0,0
NO,0.037247,34,0,0.16092,7916,7,0,1,0,2
NO,0.849479,52,0,0.620819,14380,16,0,2,0,1
NO,1.0983,67,0,1915,?,8,0,0,0,1
NO,1.007549,41,1,0.553471,6236,15,0,2,0,1
NO,0,86,0,0.028613,2725,2,0,0,0,1
YES,0.20011,60,1,0.540777,4916,8,0,2,2,1
NO,0.001667,52,0,0.138718,9111,2,0,1,0,1
NO,1,23,0,0.085975,3500,3,0,0,0,1
NO,0.014752,68,0,0.005333,7500,6,0,0,0,0
NO,0.408721,55,1,0.547129,3256,7,0,1,0,0
NO,0.08369,40,0,1.043061,14583,20,0,2,0,2
NO,0.119707,61,0,0.322396,6125,10,0,1,0,0
NO,0.704804,47,0,0.396466,4640,12,0,0,0,3
NO,0.192184,36,0,0.351254,5300,8,0,0,0,2
NO,0,80,0,0,5300,8,0,0,0,0
NO,0,49,1,0.544229,9416,11,0,3,0,2
NO,0.497705,50,1,0.550203,11582,18,0,5,0,1
NO,0.700855,58,1,34,?,2,0,0,0,0
NO,0.021956,85,0,0.013901,2373,9,0,0,0,0
NO,0.349388,33,0,0.308358,7166,4,0,1,0,2
NO,1.011952,52,0,0.07717,2176,2,0,0,0,2
NO,0,38,0,1889,?,6,0,2,0,2
NO,0.863511,48,0,1.239504,2500,7,0,1,0,2
NO,0.617712,49,0,0.321416,8390,10,0,1,0,4
NO,0.341317,32,2,0.517946,2200,7,1,0,1,2
NO,0.190397,73,0,338,?,7,0,0,0,0
NO,0.010999,62,0,0.300869,2186,4,0,1,0,0
NO,0.988915,49,0,0.647598,3600,6,0,1,0,2
NO,0.051063,48,0,0.234283,5582,8,0,2,0,2
NO,0.478024,43,0,0.162942,5995,3,1,1,0,2
NO,0.991182,48,2,0.216814,16866,8,0,3,1,0
NO,0.32289,46,0,0.208667,4499,5,0,0,0,0
NO,0.809574,64,0,0.360789,7150,8,0,1,0,0
NO,0.131352,39,0,0.13361,10365,11,0,1,0,0
NO,0.35744,55,0,0.422429,1720,4,0,1,0,0
NO,0.142531,55,0,0.37221,7167,6,0,2,0,2
NO,0.01419,60,0,0.186953,4000,17,0,1,0,0
NO,0.886467,46,3,0.388994,2652,6,1,1,1,2
NO,0.02572,32,0,0.192714,2552,5,0,0,0,0
NO,0.17503,58,0,0.517813,9234,30,0,3,0,2
NO,1,46,0,0,2500,0,0,0,0,0
NO,0.169949,40,0,0.95944,3500,11,0,2,0,0
YES,0.961229,42,4,0.518629,7675,16,1,2,2,2
NO,0.317209,68,0,0.459751,38000,32,0,4,0,0
NO,0.049631,73,0,64,?,6,0,0,0,0
NO,0.024574,77,0,29,0,2,0,0,0,0
NO,0.005161,43,0,0.230318,14822,11,0,2,0,2
NO,0,50,0,0.578246,3750,10,0,2,0,0
NO,0.038265,80,0,0.52267,2800,16,0,1,0,1
NO,0.300413,68,0,0.383373,10957,14,1,1,0,1
NO,0.535453,60,0,1619,?,7,0,1,0,0
NO,0.003022,61,0,0.161855,8000,14,0,1,0,1
NO,0.404735,40,0,0.224583,23300,17,0,2,0,2
NO,0.310381,62,0,0.663767,3333,13,0,2,0,0
NO,0.038756,61,0,0.008869,7666,13,0,0,0,0
NO,0.016976,73,0,20,?,5,0,0,0,1
NO,0,60,0,0.624692,3652,9,0,2,0,0
NO,0.049441,53,0,0.346696,14467,5,0,3,0,0
NO,0.806702,36,0,0.888349,7200,19,0,2,0,0
NO,0.063058,59,0,0.231594,2050,5,0,0,0,0
NO,0.028099,50,0,0.210651,8881,4,0,2,0,2
NO,0.619921,75,0,0.299738,4583,14,0,0,0,0
NO,0.207589,48,0,0.419639,9643,15,0,1,0,1
NO,0.078254,58,0,567,?,12,0,1,0,0
NO,0.36309,61,0,0.405782,4738,19,0,1,0,0
NO,0.039996,38,0,0.465414,2500,6,0,1,0,1
NO,0.210862,49,0,0.21305,7800,10,0,0,0,2
NO,0.727154,67,0,1.303557,2417,12,0,1,0,0
NO,0.081665,70,0,0.231828,4360,7,0,0,0,1
NO,0.903171,32,0,3.603491,400,11,0,0,0,1
NO,0.090178,48,0,0.437364,10137,6,0,2,0,2
NO,0.806791,45,0,1359,?,13,0,1,0,1
NO,0.046698,71,0,0.03427,8111,5,0,0,0,0
NO,0.627895,50,1,736,?,8,0,0,0,0
NO,0.020363,54,0,2949,?,8,0,2,0,0
NO,0.569648,63,0,4400,?,5,0,2,0,0
NO,0.183492,63,0,0.977996,3362,18,0,1,0,0
NO,0,66,0,1990,?,6,0,1,0,0
NO,0.003167,62,1,0.18922,10500,17,0,2,0,0
NO,1,55,1,0.129396,4350,1,0,0,0,0
NO,0.089157,54,1,0.314326,6400,10,0,1,0,1
NO,0.451894,56,0,0.15408,5600,15,1,0,0,0
NO,0.209881,48,1,0.25134,8020,19,0,1,0,2
NO,0.808175,65,0,0.390706,5013,9,0,1,0,0
NO,0.354868,45,0,3327,?,10,0,2,0,0
NO,0.004999,53,1,0.668142,1581,7,0,1,0,1
NO,0.759936,47,0,0.297062,3096,5,0,0,0,0
NO,0.165719,48,0,1.184553,5916,17,0,2,0,3
NO,0.587828,47,0,0.091614,8000,5,0,0,0,2
NO,0.056573,45,0,0.253223,8300,11,0,2,0,2
NO,0.048126,69,0,0.165534,2500,9,0,0,0,0
NO,0.040201,77,0,0.170644,7500,5,0,2,0,0
NO,0.00183,71,0,2119,?,17,0,2,0,0
NO,0.25235,62,0,0.115995,22500,12,0,1,0,1
NO,0.706598,37,0,0.253492,6800,12,0,0,0,0
NO,0.004399,72,0,0,?,1,0,0,0,?
NO,0.012874,44,0,0.050036,4216,7,0,0,0,0
NO,0.101362,55,0,3646,?,9,0,2,0,3
NO,0.785607,49,0,0.17158,5833,6,0,1,0,3
NO,0.151184,34,0,0.243043,3916,6,0,1,0,0
NO,1.163673,37,0,752,?,4,0,0,0,0
NO,0.088658,36,0,0.226616,4500,4,0,2,0,0
NO,1,24,0,0.086365,2500,1,0,0,0,0
NO,1,65,0,0,4100,0,0,0,0,0
NO,0.712664,45,0,0.258317,5500,3,0,2,0,0
NO,0.037069,59,0,1084,?,8,0,1,0,0
NO,0.036598,41,0,0.287034,33333,9,0,2,0,0
NO,0.04793,46,0,0.006269,20416,12,0,0,0,0
NO,0.617337,33,0,0.507034,4975,9,0,1,0,3
NO,0.032098,56,0,0.238545,6568,12,0,2,0,0
NO,0.131882,68,1,0.47933,3700,14,0,1,0,0
NO,0.363375,48,0,0.599925,8000,20,0,2,0,1
NO,0.008687,66,0,0.000897,4460,3,0,0,0,0
NO,0.002395,69,0,0.001423,3512,13,0,0,0,0
NO,0.005392,41,0,0.000185,10800,6,0,0,0,0
NO,0.299281,74,0,1436,0,13,0,1,0,0
NO,0,40,0,2836,?,8,0,1,0,4
NO,0.151031,47,0,0.598258,5164,8,0,1,0,0
NO,0.764573,51,2,1439,?,11,0,1,0,1
NO,0.539763,27,0,0.111143,3445,9,0,0,0,1
NO,0.054765,46,0,0.241691,10500,6,0,1,0,0
NO,0.322649,38,0,0.26726,4272,5,0,2,0,0
NO,0.188183,39,0,0.194465,6900,9,0,0,0,1
NO,0.014215,39,0,0.343178,6500,18,0,1,0,0
NO,0.042492,57,2,0.133043,2750,6,0,0,0,0
NO,0.992522,27,0,1.100637,784,5,0,0,1,0
NO,0.006464,70,0,3275,0,18,0,1,0,0
NO,0.926012,51,3,0.430546,23000,12,0,4,0,2
NO,0.019988,62,0,0.265409,9166,7,0,1,0,0
NO,0.004627,42,0,2926,?,12,0,1,0,0
NO,0.136646,55,0,0.106223,4000,7,0,0,0,1
NO,0.364288,45,0,7665,?,9,0,4,0,0
NO,0.325212,50,0,0.570905,6550,12,0,3,0,1
NO,1,57,0,1092,?,4,0,0,0,0
YES,0.865814,54,1,0.361726,8135,11,0,2,3,2
NO,0.030672,62,0,0.339934,8483,13,0,1,0,1
NO,0.420927,55,0,0.27316,17000,11,0,2,0,1
NO,0.11572,80,0,0.124844,800,4,0,0,0,0
NO,0.031844,43,0,0.440512,5000,10,0,2,0,1
NO,0.289183,46,0,3133,?,6,0,2,0,0
NO,0.171471,26,0,0.208497,2800,5,0,0,0,0
NO,0.166366,61,1,0.169729,8000,10,0,2,0,0
NO,0.154318,44,1,0.287097,9400,13,0,1,0,4
NO,0.01062,50,0,0.056587,7916,7,0,1,0,0
NO,0.295681,50,0,0.135439,13961,6,0,2,0,1
NO,0.523447,55,0,943,?,4,0,0,0,0
NO,0.171956,78,0,0.166548,7000,8,0,0,0,1
NO,0.038719,47,0,1873,?,8,0,1,0,0
NO,0.006137,68,0,412,?,17,0,0,0,0
NO,0.010295,66,0,2.381349,1200,14,0,4,0,0
NO,0.521652,41,0,0.353445,2800,5,0,1,0,1
NO,0.607668,64,0,0.657924,9035,9,0,1,0,0
NO,0.035931,64,0,0.205598,6001,22,1,0,0,0
NO,0.162252,49,0,0.183888,14187,11,0,1,0,2
NO,0.297059,45,0,0.413328,5416,10,0,1,0,2
NO,1.145854,47,0,419,?,1,0,0,0,0
NO,0.005974,67,0,0.088982,5000,25,0,0,0,0
NO,0.304147,34,0,0.132438,3646,5,0,0,0,1
NO,0.081266,60,0,0.362031,8548,13,0,2,0,1
NO,0.222987,62,0,1339,?,18,0,0,0,0
NO,0.061105,44,0,0.657802,3120,8,0,2,0,2
NO,0,49,1,104,?,11,0,0,0,0
